"word";"base_word"
"adikbud";"adikbud"
"adikku";"adik"
"adikmu";"adik"
"adiknya";"adik"
"adiksi";"adiksi"
"adiktif";"adiktif"
"adiku";"adi"
"adil";"adil"
"adila";"adila"
"adilan";"adil"
"adili";"adil"
"adilkah";"adil"
"adilla";"adilla"
"adillah";"adil"
"adillatuh";"adillatuh"
"adillatuhu";"adillatuhu"
"adilmakmur";"adilmakmur"
"adilnya";"adil"
"adiluhung";"adiluhung"
"adiluhur";"adiluhur"
"adim";"adim"
"adimakayasa";"adimakayasa"
"adiman";"adiman"
"adiministrasi";"adiministrasi"
"adin";"adin"
"adina";"adina"
"adinata";"adinata"
"adinda";"adinda"
"adindafitriyana";"adindafitriyana"
"adinegara";"adinegara"
"adinegoro";"adinegoro"
"ading";"ading"
"adiniko";"adiniko"
"adiningrat";"adiningrat"
"adiningsih";"adiningsih"
"adiniyah";"adiniyah"
"adinugraha";"adinugraha"
"adinugroho";"adinugroho"
"adinusantara";"adinusantara"
"adios";"adios"
"adip";"adip"
"adipala";"adipala"
"adipanggil";"adipanggil"
"adipati";"adipati"
"adiperdana";"adiperdana"
"adiperkasa";"adiperkasa"
"adipradana";"adipradana"
"adipradhana";"adipradhana"
"adipranata";"adipranata"
"adipratama";"adipratama"
"adiprima";"adiprima"
"adipura";"adipura"
"adiputra";"adiputra"
"adiputro";"adiputro"
"adira";"adira"
"adirana";"adirana"
"adiratna";"adiratna"
"adirozal";"adirozal"
"adis";"adis"
"adisa";"adisa"
"adisabilitas";"adisabilitas"
"adisaputra";"adisaputra"
"adisasmito";"adisasmito"
"adisatria";"adisatria"
"adisebabkan";"adisebabkan"
"adishakti";"adishakti"
"adisi";"adisi"
"adison";"adison"
"adistrya";"adistrya"
"adisty";"adisty"
"adisucipto";"adisucipto"
"adisutjipto";"adisutjipto"
"adisyah";"adisyah"
"adit";"adit"
"adita";"adita"
"aditama";"aditama"
"aditan";"aditan"
"aditia";"aditia"
"aditiawarman";"aditiawarman"
"aditif";"aditif"
"aditiya";"aditiya"
"adituang";"adituang"
"aditv";"aditv"
"aditya";"aditya"
"adityawarman";"adityawarman"
"adityawidi";"adityawidi"
"adityawisnu";"adityawisnu"
"adityo";"adityo"
"aditywarman";"aditywarman"
"adiutama";"adiutama"
"adiwerna";"adiwerna"
"adiwibowo";"adiwibowo"
"adiwijaya";"adiwijaya"
"adiwikarta";"adiwikarta"
"adiwinarto";"adiwinarto"
"adiwiyata";"adiwiyata"
"adiwiyono";"adiwiyono"
"adiwobo";"adiwobo"
"adiwoso";"adiwoso"
"adiwuryanto";"adiwuryanto"
"adiyaksa";"adiyaksa"
"adiyatwidi";"adiyatwidi"
"adjat";"adjat"
"adjective";"adjective"
"adjeng";"adjeng"
"adji";"adji"
"adjid";"adjid"
"adjidarmo";"adjidarmo"
"adjie";"adjie"
"adjir";"adjir"
"adjudication";"adjudication"
"adjudicator";"adjudicator"
"adjudikasi";"adjudikasi"
"adjusment";"adjusment"
"adjustment";"adjustment"
"adk";"adk"
"adkhilhuljannata";"adkhilhuljannata"
"adkhilnaljannata";"adkhilnaljannata"
"adkhilni";"adkhilni"
"adkhilnii";"adkhilnii"
"adl";"adl"
"adlaah";"adlaah"
"adlah";"adlah"
"adlan";"adlan"
"adlh";"adlh"
"adli";"adli"
"adliansyah";"adliansyah"
"adlin";"adlin"
"adlinsyah";"adlinsyah"
"adlrozal";"adlrozal"
"adly";"adly"
"adm";"adm"
"admadibrata";"admadibrata"
"admaja";"admaja"
"admajaya";"admajaya"
"admi";"admi"
"admil";"admil"
"admin";"admin"
"adminduk";"adminduk"
"adminiatrator";"adminiatrator"
"admininstrasi";"admininstrasi"
"adminisitrasi";"adminisitrasi"
"administarsi";"administarsi"
"administasi";"administasi"
"administasinya";"administasinya"
"administraif";"administraif"
"administrasi";"administrasi"
"administrasilah";"administrasi"
"administrasinya";"administrasi"
"administrastif";"administrastif"
"administratif";"administratif"
"administratifnya";"administratif"
"administration";"administration"
"administrative";"administrative"
"administrator";"administrator"
"administratrif";"administratrif"
"adminitrasi";"adminitrasi"
"adminnya";"adminnya"
"adminsitrasi";"adminsitrasi"
"adminsitratif";"adminsitratif"
"adminstrasi";"adminstrasi"
"adminstratif";"adminstratif"
"adminstrator";"adminstrator"
"admiral";"admiral"
"admirality";"admirality"
"admiralty";"admiralty"
"admirer";"admirer"
"admisi";"admisi"
"admisnistrasi";"admisnistrasi"
"admission";"admission"
"admistrasi";"admistrasi"
"admits";"admits"
"admm";"admm"
"admministrasi";"admministrasi"
"admnistrasi";"admnistrasi"
"admodipura";"admodipura"
"admoko";"admoko"
"adn";"adn"
"adnan";"adnan"
"adnani";"adnan"
"adnanpurichtaichsan";"adnanpurichtaichsan"
"adnas";"adnas"
"adni";"adni"
"adnil";"adnil"
"adnin";"adnin"
"adnya";"adnya"
"adnyana";"adnyana"
"adnyane";"adnyane"
"adnyani";"adnyani"
"ado";"ado"
"adobang";"adobang"
"adobe";"adobe"
"adodo";"adodo"
"adok";"adok"
"adol";"adol"
"adolf";"adolf"
"adolfina";"adolfina"
"adolfs";"adolfs"
"adolifina";"adolifina"
"adolph";"adolph"
"adonan";"adon"
"adonannya";"adon"
"adonara";"adonara"
"adong";"adong"
"adopsi";"adopsi"
"adopt";"adopt"
"adopter";"adopter"
"adp";"adp"
"adpidsus";"adpidsus"
"adpm";"adpm"
"adr";"adr"
"adreas";"adreas"
"adrenalin";"adrenalin"
"adrenalinnya";"adrenalin"
"adresat";"adresat"
"adress";"adress"
"adrew";"adrew"
"adri";"adri"
"adriaan";"adriaan"
"adrian";"adrian"
"adriana";"adriana"
"adriano";"adriano"
"adrians";"adrians"
"adriansa";"adriansa"
"adriansyah";"adriansyah"
"adrianti";"adrianti"
"adrianto";"adrianto"
"adrianus";"adrianus"
"adriany";"adriany"
"adriatma";"adriatma"
"adriawan";"adriawan"
"adrie";"adrie"
"adriel";"adriel"
"adrierm";"adrierm"
"adrika";"adrika"
"adrina";"adrina"
"adrinof";"adrinof"
"adriyan";"adriyan"
"adriyani";"adriyani"
"adriyanthi";"adriyanthi"
"adriyanti";"adriyanti"
"adriyanto";"adriyanto"
"adrt";"adrt"
"adrus";"adrus"
"adryanto";"adryanto"
"ads";"ads"
"adsmart";"adsmart"
"adsw";"adsw"
"adt";"adt"
"adta";"adta"
"adtani";"adtani"
"adtln";"adtln"
"adtoon";"adtoon"
"adtya";"adtya"
"adu";"adu"
"aduan";"adu"
"aduanasn";"aduanasn"
"aduankonten";"aduankonten"
"aduannya";"adu"
"aduddin";"aduddin"
"aduh";"aduh"
"aduhai";"aduhai"
"aduhh";"aduhh"
"aduhio";"aduhio"
"adui";"adu"
"aduin";"aduin"
"aduk";"aduk"
"adukan";"adu"
"adukkan";"aduk"
"adul";"adul"
"adun";"adun"
"adung";"adung"
"adup";"adup"
"adupi";"adupi"
"aduwwal";"aduwwal"
"advan";"advan"
"advance";"advance"
"advanced";"advanced"
"advancement";"advancement"
"advancing";"advancing"
"advantage";"advantage"
"advanture";"advanture"
"advent";"advent"
"adventis";"adventis"
"adventure";"adventure"
"adversarial";"adversarial"
"adversaries";"adversaries"
"advertensi";"advertensi"
"advertising";"advertising"
"advetorialnya";"advetorialnya"
"advice";"advice"
"advicer";"advicer"
"advis";"advis"
"advise";"advise"
"advisor";"advisor"
"advisory";"advisory"
"advocacy";"advocacy"
"advocat";"advocat"
"advocate";"advocate"
"advocates";"advocates"
"advokasi";"advokasi"
"advokasikan";"advokasi"
"advokasinya";"advokasi"
"advokat";"advokat"
"advokatlah";"advokat"
"advokatnya";"advokat"
"advoksi";"advoksi"
"adw";"adw"
"adwan";"adwan"
"adweek";"adweek"
"adwiana";"adwiana"
"ady";"ady"
"adya";"adya"
"adyaksa";"adyaksa"
"adyan";"adyan"
"adyana";"adyana"
"adyatma";"adyatma"
"adytia";"adytia"
"adz";"adz"
"adzaaban";"adzaaban"
"adzaabannar";"adzaabannar"
"adzaabil";"adzaabil"
"adzaabilqabri";"adzaabilqabri"
"adzaabinnaari";"adzaabinnaari"
"adzab";"adzab"
"adzan";"adzan"
"adzania";"adzania"
"adzanu";"adzanu"
"adzhaba";"adzhaba"
"adzhalimiin";"adzhalimiin"
"adzhibil";"adzhibil"
"adzhiim";"adzhiim"
"adziimi";"adziimi"
"adzikro";"adzikro"
"adzim";"adzim"
"adzina";"adzina"
"adzkar";"adzkar"
"ae";"ae"
"aebuah";"aebuah"
"aec";"aec"
"aecara";"aecara"
"aedes";"aedes"
"aeg";"aeg"
"aegis";"aegis"
"aegypti";"aegypti"
"aek";"aek"
"aekhorsik";"aekhorsik"
"aem";"aem"
"aemoli";"aemoli"
"aen";"aen"
"aeng";"aeng"
